Date,Gold,SP500,Euro,Oil,Silver,Quarter
2017-08-16,121.870003,239.913834,1.177,9.57,38863,3
2016-07-15,126.839996,205.511993,1.1036,10.99,47275,3
2013-03-01,152.440002,135.032669,1.3022,32.740002000000004,53711,1
2014-10-06,116.029999,180.249847,1.2654,34.040001000000004,38488,4
2017-05-17,119.790001,227.998383,1.1159,10.19,39199,2
2016-08-02,130.270004,205.245361,1.1227,9.33,48071,3
2015-03-19,112.290001,193.442123,1.0659999999999998,16.08,36371,1
2017-11-15,121.410004,250.37997400000003,1.1792,11.09,39711,4
2012-11-30,166.050003,125.302147,1.2986,32.560001,61185,4
2014-10-20,119.800003,174.749344,1.2799,31.139999,38533,4
2017-10-18,121.669998,249.677002,1.1787,10.48,39767,4
2016-06-01,115.940002,199.181549,1.1188,11.93,38460,2
2012-11-23,169.610001,124.597,1.2976,32.32,63526,4
2012-09-21,171.96000700000005,128.581268,1.298,34.490002000000004,63371,3
2018-03-28,125.730003,256.007782,1.2308,13.04,38308,1
2013-07-02,120.050003,144.50813300000004,1.2979,35.209999,39883,3
2014-08-22,123.190002,182.061691,1.3243,34.959999,41955,3
2017-09-13,125.610001,243.05191,1.1886,10.07,41110,3
2012-02-29,164.28999299999995,118.998093,1.3326,40.919998,57783,1
2015-11-10,104.18,195.385956,1.0724,14.09,34272,4
2016-09-12,126.589996,205.997589,1.1234,10.64,45447,3
2011-12-22,156.03999299999995,108.793526,1.3051,38.279999,52894,4
2012-02-17,167.350006,118.468315,1.3152,39.75,55926,1
2012-03-26,164.399994,123.523338,1.3358,40.77,57731,1
2016-02-23,117.220001,181.243668,1.102,8.48,37176,1
2016-10-10,120.160004,206.865982,1.1138,11.67,42210,4
2015-07-14,110.739998,196.387939,1.1012,17.719998999999998,35172,3
2018-07-10,118.93,276.031219,1.1744,15.07,39793,3
2012-10-24,164.860001,124.306152,1.2974,31.629999,59000,4
2017-09-19,124.620003,244.062881,1.1994,10.11,40062,3
2012-07-18,153.050003,120.44574,1.2284,33.689999,52706,3
2012-02-16,168.0,118.155678,1.3141,39.279999,56216,1
2015-10-27,111.68,193.521667,1.1048,13.82,37064,4
2012-12-20,159.729996,127.920128,1.3244,32.73,57351,4
2016-04-25,118.230003,197.609085,1.1266,10.55,40102,2
2016-05-24,117.300003,196.908096,1.1141,11.82,39337,2
2018-09-18,113.440002,287.917725,1.1667,14.69,37438,3
2016-05-18,120.099998,194.104202,1.1217,11.7,41048,2
2013-07-10,120.949997,148.075806,1.2976,37.43,40174,3
2016-07-06,130.229996,199.636948,1.1099,11.33,47788,3
2013-11-20,120.120003,160.75968899999995,1.3439,33.630001,44999,4
2012-01-23,163.160004,114.299622,1.3030000000000002,38.389999,55565,1
2014-09-10,120.260002,182.866043,1.2917,34.259998,41956,3
2013-08-02,126.360001,153.239044,1.3283,37.939999,42034,3
2015-02-23,115.43,195.021072,1.1332,18.110001,36199,1
2012-10-03,172.410004,127.893715,1.2906,32.610001000000004,62318,4
2013-01-07,159.429993,129.582047,1.3117,33.919998,57983,1
2017-05-25,119.480003,233.741348,1.1211,10.04,39802,2
2015-02-03,121.050003,189.139313,1.1481,19.620001,38091,1
2013-03-11,152.990005,138.512604,1.3045,33.040001000000004,54593,1
2018-12-24,120.019997,234.339996,1.14,9.29,37541,4
2013-04-15,131.309998,138.317184,1.3036,31.49,44378,2
2018-01-17,126.139999,274.397827,1.2186,12.78,39201,1
2012-02-07,169.699997,117.061401,1.3266,37.950001,57265,1
2013-05-17,131.070007,148.856842,1.2839,34.209999,42814,2
2012-07-20,153.669998,119.65663899999998,1.2157,34.200001,52872,3
2016-02-16,114.769997,178.84996,1.1144,8.31,37219,1
2012-09-06,164.889999,126.057251,1.2631,35.23,62339,3
2018-06-29,118.650002,268.48962400000005,1.1685,15.06,39228,2
2014-11-19,113.68,188.45015,1.2554,28.25,36372,4
2017-10-03,120.830002,246.884567,1.1744,10.18,39328,4
2017-08-23,122.669998,237.601547,1.1807,9.88,39074,3
2018-10-09,112.599998,285.731415,1.149,15.82,38621,4
2018-10-10,112.879997,276.684265,1.152,15.38,38485,4
2018-10-19,116.010002,274.646179,1.1515,14.72,38796,4
2012-09-18,171.720001,128.556137,1.3048,35.57,64469,3
2018-10-24,116.660004,263.779633,1.1392,14.05,38836,4
2012-03-01,166.610001,119.614723,1.3312,41.75,58332,1
2016-11-23,113.25,211.210785,1.0559,10.67,40526,4
2014-10-17,118.989998,173.068893,1.2763,31.25,38399,4
2015-11-09,104.400002,194.936295,1.0752,14.08,34552,4
2012-04-17,160.25,121.316505,1.3125,39.639999,56016,2
2016-06-21,120.839996,198.475281,1.1242,11.89,41355,2
2013-08-27,136.75,146.408493,1.3393,38.869999,57290,3
2013-07-24,127.480003,151.06083700000005,1.3201,37.400002,41346,3
2017-11-09,122.129997,252.069107,1.1642,11.46,39641,4
2018-05-07,124.57,262.993561,1.1922,14.1,39911,2
2016-09-19,125.32,204.234238,1.1174,9.98,46041,3
2014-11-14,114.470001,187.550232,1.2523,28.83,36032,4
2013-09-10,131.740005,151.374557,1.3268,38.34,52235,3
2015-11-23,102.260002,195.863754,1.0636,13.02,33608,4
2012-01-03,155.919998,110.730225,1.3051,39.689999,53109,1
2012-04-10,161.100006,118.542625,1.3081,38.509998,56267,2
2013-09-23,127.550003,153.06715400000004,1.3493,37.27,49393,3
2018-02-28,125.0,266.586273,1.2194,12.37,38246,1
2016-11-30,111.75,210.904541,1.0588,10.93,40089,4
2013-01-17,163.350006,131.384079,1.3377,34.669998,59614,1
2016-08-29,126.300003,207.921021,1.1189,10.85,44367,3
2012-07-17,153.470001,119.560173,1.2294,33.380001,52890,3
2018-03-22,125.980003,259.791351,1.2302,12.95,38577,1
2015-08-28,108.699997,185.688721,1.1179,14.88,34378,3
2012-04-04,157.21000700000005,121.996834,1.3142,38.84,55385,2
2015-11-04,105.970001,197.091003,1.0863,14.85,35504,4
2013-07-08,119.510002,146.964249,1.287,36.41,40388,3
2017-01-04,110.860001,218.115921,1.0488,11.58,40267,1
2015-04-02,115.279999,191.467346,1.0884,17.559998999999998,37349,2
2012-12-06,164.5,125.152298,1.2968,31.66,62440,4
2012-03-20,160.130005,122.5028,1.3225,40.43,56466,1
2018-09-06,113.540001,285.196014,1.1622,14.3,37151,3
2015-12-16,102.75,194.88945,1.0913,10.99,34400,4
2013-01-10,161.979996,130.567337,1.3271,34.169998,58680,1
2017-03-06,116.720001,228.830185,1.0581,11.28,42429,1
2013-08-19,132.009995,147.699326,1.3335,38.169998,51215,3
2015-07-10,111.489998,193.368332,1.1164,17.67,35615,3
2013-08-21,132.070007,147.511093,1.3357,37.169998,51446,3
2012-07-06,153.71000700000005,118.797394,1.2288,31.59,53061,3
2017-07-05,116.519997,235.862503,1.1353,9.25,37124,3
2018-06-27,118.580002,266.579468,1.1554,14.65,39642,2
2017-08-30,124.360001,239.010284,1.1883,9.38,39721,3
2014-04-28,124.879997,169.995926,1.385,36.709999,42468,2
2012-01-19,161.220001,114.16938,1.2965,38.689999,53387,1
2018-05-29,123.190002,265.06262200000003,1.154,13.51,39979,2
2016-01-28,106.540001,178.218582,1.0939,9.7,34806,1
2018-05-24,123.589996,268.787048,1.172,14.29,40882,2
2012-06-19,157.160004,118.981483,1.2688,31.68,54465,2
2017-03-17,116.989998,229.168243,1.0738,10.33,40909,1
2017-03-23,118.669998,226.267746,1.0783,10.01,41300,1
2014-08-27,123.32,183.030579,1.3193,35.029999,41933,3
2013-07-03,120.739998,144.570877,1.3009,35.84,40989,3
2017-07-03,116.089996,235.31842000000003,1.1364,9.62,37250,3
2018-10-29,116.309998,262.328094,1.1373,14.11,38285,4
2018-06-21,120.050003,271.419159,1.1603,13.31,39554,2
2017-02-09,117.290001,221.985748,1.0656,11.35,42031,1
2016-03-29,118.760002,194.303116,1.1291,9.8,36560,1
2015-08-05,103.93,195.810104,1.0906,15.03,33479,3
2012-07-23,153.029999,118.446625,1.2115,33.0,52923,3
2018-11-14,114.639999,268.631317,1.131,11.95,36494,4
2012-12-28,160.53999299999995,124.308876,1.3216,33.040001000000004,57516,4
2016-04-29,123.650002,195.44931,1.1456,11.3,41566,2
2018-07-24,116.040001,278.713348,1.1686,14.23,38450,3
2016-08-31,124.779999,206.987869,1.1158,10.36,43988,3
2016-12-22,107.589996,216.96077,1.0437,11.46,38970,4
2017-07-14,116.769997,238.57309,1.1469,9.59,36970,3
2018-10-04,113.480003,287.759583,1.1515,15.74,38971,4
2013-05-08,142.46000700000005,145.64678999999995,1.3152,34.400002,44906,2
2014-10-31,112.660004,185.181076,1.2525,30.629999,35797,4
2018-09-07,113.230003,284.641754,1.1553,14.28,37167,3
2014-03-11,129.860001,169.566254,1.3859,35.810001,45897,1
2015-06-29,113.07,191.495026,1.1236,19.51,35854,2
2013-03-27,155.360001,139.271286,1.278,34.549999,54062,1
2015-05-11,113.529999,195.3349,1.1155,20.379999,37668,2
2015-10-14,113.809998,186.701492,1.1473,15.05,37575,4
2012-05-30,151.910004,114.931389,1.237,33.02,54483,2
2012-02-02,171.050003,115.228912,1.3146,37.130001,57023,1
2015-06-16,113.32,195.001022,1.1248,20.26,36848,2
2017-10-11,122.790001,248.99353,1.1859,10.36,40129,4
2012-10-11,171.320007,126.368767,1.2927,34.290001000000004,61778,4
2016-01-27,107.690002,177.294998,1.0893,9.18,35296,1
2017-02-23,118.940002,227.60762000000005,1.0581,11.53,42856,1
2014-10-22,119.339996,176.944031,1.2649,30.549999,38209,4
2017-10-12,122.889999,248.622498,1.183,10.23,40352,4
2012-10-17,169.53999299999995,128.872177,1.3119,34.099998,60574,4
2015-06-04,112.839996,194.889725,1.1239,19.66,37172,2
2013-11-22,119.919998,162.867477,1.3558,34.040001000000004,44547,4
2013-01-15,162.559998,130.558502,1.3304,33.990002000000004,59459,1
2012-07-09,154.03999299999995,118.648331,1.2319,32.169998,53544,3
2014-03-13,132.21000700000002,167.709656,1.3869,35.34,46734,1
2015-05-06,114.360001,192.951294,1.1353,20.82,37992,2
2015-06-23,112.889999,197.627457,1.117,20.469999,35938,2
2016-12-28,108.860001,216.017349,1.0412,11.75,39420,4
2017-11-17,122.860001,251.766388,1.1795,11.35,40013,4
2017-06-16,119.339996,235.736176,1.1198,9.24,38481,2
2014-05-19,124.580002,171.687866,1.3709,37.380001,40866,2
2016-03-22,119.309998,193.772629,1.1217,10.54,37864,1
2015-03-11,110.75,188.825348,1.0547,17.77,35049,1
2016-01-19,103.980003,177.229004,1.0909,8.49,34428,1
2017-07-26,119.879997,240.38989300000003,1.1734,9.96,38091,3
2014-09-17,117.540001,183.487579,1.2866,35.009998,41374,3
2015-12-07,102.669998,195.189224,1.0835,11.72,34771,4
2012-11-13,167.100006,121.458916,1.2704,31.41,60804,4
2018-06-06,122.919998,273.319366,1.1773,13.16,39927,2
2015-01-06,117.120003,184.504105,1.1889,18.049999,37914,1
2013-08-14,129.0,151.258041,1.3256,38.09,46573,3
2018-05-15,122.480003,267.11203,1.1838,14.4,39952,2
2014-09-18,117.779999,184.465546,1.2923,34.619999,40934,3
2016-10-20,120.739998,204.68399,1.093,11.43,41996,4
2012-10-04,173.610001,128.810486,1.3018,33.939999,62105,4
2018-09-10,113.150002,285.136597,1.1594,14.21,37494,3
2018-09-11,113.220001,286.076813,1.1607,14.6,37401,3
2012-02-21,171.020004,118.520416,1.3241,40.580002,57157,1
2018-06-22,120.339996,271.914032,1.1657,14.02,39796,2
2017-04-12,122.019997,226.267746,1.0666,11.11,42202,2
2017-08-24,122.290001,237.047791,1.1799,9.71,38860,3
2018-04-20,126.629997,262.68808,1.2288,13.75,40479,2
2015-04-06,116.690002,192.756531,1.0924,18.43,38163,2
2013-04-02,152.429993,139.833023,1.2819999999999998,34.650002,51473,2
2014-05-07,124.169998,170.905563,1.3912,36.599998,41928,2
2014-11-12,111.5,187.293091,1.2439,29.139999,34695,4
2017-09-22,123.239998,243.54538,1.1954,10.24,39727,3
2014-02-05,121.290001,158.64404299999995,1.3533,34.709999,44392,1
2015-11-30,101.919998,195.507767,1.0564,12.93,33480,4
2013-11-14,124.269997,161.480316,1.3459,33.93,46961,4
2012-10-09,170.990005,127.109215,1.2885,34.18,61675,4
2014-05-15,124.769997,170.468948,1.3711,37.040001,41717,2
2013-03-06,153.229996,137.154327,1.2967,32.540001000000004,54968,1
2014-12-18,115.150002,189.882645,1.2286,20.74,36555,4
2018-08-01,115.139999,277.971069,1.166,14.09,37956,3
2013-12-05,118.300003,161.183075,1.3668,34.93,43146,4
2012-01-30,168.029999,114.091202,1.3127,38.009998,56992,1
2012-08-01,155.139999,120.638641,1.2226,33.169998,53172,3
2013-07-19,125.110001,151.643463,1.3142,38.450001,40332,3
2014-11-18,115.050003,188.753174,1.2537,28.200001,35804,4
2016-01-11,104.739998,181.045776,1.086,9.25,33664,1
2016-04-15,117.919998,196.822815,1.1283,10.25,38507,2
2017-12-06,120.07,257.019287,1.1796,11.2,37444,4
2014-08-11,125.959999,177.135208,1.3386,36.220001,43847,3
2018-11-13,113.699997,270.480499,1.1291,11.69,36385,4
2015-03-30,113.75,193.146057,1.0834,17.23,37466,1
2016-02-08,113.830002,174.741058,1.1198,8.64,37127,1
2017-04-27,120.389999,230.686157,1.0873,10.24,39670,2
2012-07-19,153.380005,120.761414,1.228,34.639999,52670,3
2012-07-03,157.46000700000005,120.480865,1.2607,32.939999,52512,3
2013-10-01,124.589996,152.535706,1.3526,36.68,47902,4
2015-10-13,111.860001,187.600876,1.1379,15.06,37272,4
2018-03-27,127.489998,256.76651,1.2403,13.08,38664,1
2012-04-30,161.880005,122.005577,1.3241,39.68,55318,2
2012-12-04,164.419998,124.508881,1.3094,32.400002,60671,4
2014-11-28,112.110001,190.268356,1.2452,25.58,34527,4
2012-08-20,157.259995,124.671921,1.2344,35.830002,54313,3
2013-06-25,123.470001,142.141663,1.3085,33.740002000000004,40663,2
2016-02-24,117.610001,182.072998,1.1013,8.59,37230,1
2014-08-08,126.190002,176.623322,1.3411,36.119999,43580,3
2014-01-08,118.120003,166.206268,1.3575,33.16,43869,1
2012-07-30,157.429993,121.594353,1.226,33.450001,53827,3
2017-03-13,114.739998,228.926453,1.0654,10.28,40418,1
2016-07-13,128.320007,204.645493,1.109,10.75,47830,3
2012-09-13,171.309998,128.52981599999998,1.2989,36.509998,65292,3
2018-06-28,118.220001,268.103638,1.1569,14.86,39117,2
2012-10-26,165.929993,124.597,1.2942,31.790001,59643,4
2013-10-09,126.110001,149.166809,1.3524,36.549999,49009,4
2018-12-11,117.540001,262.596527,1.1316,10.95,38331,4
2015-01-14,117.970001,185.464355,1.1789,18.27,37930,1
2013-10-14,122.830002,153.976929,1.3561,36.869999,47374,4
2016-06-30,126.470001,199.46553,1.1105,11.57,43467,2
2013-05-02,141.919998,142.445679,1.3064,33.490002000000004,44541,2
2018-11-08,115.779999,278.87149,1.1363,12.84,37613,4
2018-02-16,127.959999,268.01901200000003,1.2406,12.38,38665,1
2014-03-05,128.889999,170.03718600000005,1.3733,36.240002,46583,1
2018-06-11,123.230003,274.462311,1.1784,13.36,40791,2
2018-10-15,116.0,272.806915,1.1579,15.13,39153,4
2013-01-04,160.440002,129.937088,1.3069,33.880001,57537,1
2013-09-19,131.75,154.861542,1.3530000000000002,38.080002,51750,3
2015-07-21,105.370003,197.357208,1.0937,16.91,34022,3
2012-07-02,155.089996,119.691673,1.2586,31.43,52143,3
2016-02-11,119.059998,172.328537,1.1324,7.99,38288,1
2011-12-19,154.869995,104.468536,1.2995,36.200001,52961,4
2012-06-22,152.639999,117.01748700000002,1.257,30.1,52864,2
2012-07-12,152.589996,117.061317,1.2198,32.200001,53017,3
2014-03-28,124.559998,168.73152199999996,1.3753,36.619999,42759,1
2014-01-10,120.260002,166.767776,1.367,33.189999,44824,1
2014-09-02,121.650002,183.359558,1.3133,34.790001000000004,41617,3
2012-09-25,170.770004,127.021065,1.29,33.75,62314,3
2014-11-13,111.669998,187.504318,1.2477,28.290001,34707,4
2016-02-17,115.480003,181.771439,1.1128,8.78,37197,1
2013-01-25,160.649994,133.3815,1.3462,34.779999,58250,1
2014-10-10,117.589996,174.96975700000004,1.2628,32.18,38512,4
2015-05-01,113.080002,195.43692,1.1202,20.4,36540,2
2016-10-25,121.470001,204.961533,1.0888,11.24,42415,4
2016-05-06,123.18,194.87149,1.1405,10.96,41731,2
2013-09-09,133.910004,150.263,1.3255,38.939999,54117,3
2013-11-26,119.82,162.750381,1.3572,33.689999,44460,4
2012-03-27,163.240005,123.139542,1.3318,40.709999,57405,1
2015-09-25,109.809998,180.687057,1.1195,14.71,36072,3
2016-09-26,127.550003,205.028564,1.1254,10.43,46501,3
2015-12-14,101.790001,190.083466,1.0992,11.16,33487,4
2012-04-02,162.940002,123.723953,1.3323,40.029999,57595,2
2015-08-20,110.440002,190.134308,1.1242,13.37,36310,3
2011-12-30,151.990005,108.993294,1.2948,38.110001,51445,4
2014-12-10,117.959999,186.558502,1.2448,23.280001,38668,4
2018-10-01,112.57,290.036316,1.1578,15.95,38445,4
2018-09-20,114.269997,290.560242,1.1777,14.8,37259,3
2014-12-17,114.269997,185.30043,1.2343,21.34,36731,4
2018-06-04,122.370003,270.85614,1.1699,13.12,39576,2
2015-07-20,105.699997,198.158722,1.0827,16.690001000000002,34145,3
2013-08-22,132.809998,148.855698,1.3356,37.540001,51195,3
2015-04-17,115.599998,192.867813,1.0807,19.84,36455,2
2012-10-05,172.619995,128.81926,1.3034,33.349998,61732,4
2018-08-31,113.510002,287.323883,1.1601,14.71,36701,3
2015-11-05,105.639999,196.875519,1.0884,14.48,35500,4
2018-10-11,115.779999,270.589874,1.1594,14.95,38889,4
2014-06-12,122.639999,176.05423000000005,1.3553,39.080002,41251,2
2013-07-09,120.620003,148.02203400000005,1.2781,36.77,40168,3
2015-02-26,116.07,195.177979,1.1198,18.030001,36628,1
2015-11-17,102.339996,192.49115,1.0644,13.01,33707,4
2012-11-20,167.389999,122.693008,1.2818,31.950001,61536,4
2018-05-18,122.410004,267.338654,1.1778,14.43,40195,2
2018-01-19,126.419998,275.182922,1.2222,12.72,38969,1
2017-07-11,115.620003,235.298981,1.1467,9.27,36771,3
2018-06-08,123.010002,274.097778,1.1768,13.27,40412,2
2015-12-31,101.459999,192.128464,1.0861,11.0,33299,4
2012-01-04,156.71000700000005,110.90391499999998,1.2942,39.77,52761,1
2013-02-06,162.389999,134.189316,1.3523,35.040001000000004,58376,1
2016-04-08,118.43,193.715836,1.1401,10.03,36671,2
2015-10-08,109.139999,188.500275,1.1279,16.040001,36875,4
2014-05-21,124.389999,172.042618,1.3687,37.98,40896,2
2015-04-21,115.379997,194.398132,1.0736,19.450001,36157,2
2017-10-19,122.389999,249.745331,1.1852,10.35,39846,4
2015-09-14,106.220001,182.650467,1.1321,14.39,34713,3
2012-05-10,154.770004,118.647324,1.2936,36.610001,54568,2
2016-07-28,127.660004,206.407043,1.1076,9.67,47362,3
2016-04-28,121.290001,196.510239,1.1353,11.22,41044,2
2013-09-24,127.660004,152.706863,1.3474,37.220001,49152,3
2017-01-19,114.769997,217.470978,1.0664,11.17,41270,1
2014-09-15,118.639999,181.869736,1.2942,34.560001,41400,3
2014-04-10,127.010002,166.612015,1.3888,37.200001,43486,2
2018-04-09,126.82,257.160614,1.2321,12.77,38545,2
2013-11-05,126.559998,158.778,1.3474,33.669998,48159,4
2013-06-17,133.770004,146.627625,1.3369,34.759998,43597,2
2016-11-15,117.120003,208.894836,1.0721,10.34,41407,4
2018-08-07,114.589996,282.642517,1.1599,14.36,37883,3
2017-06-13,120.480003,236.438828,1.1216,9.6,38771,2
2013-09-06,134.149994,148.837738,1.318,39.360001,54817,3
2016-03-08,120.580002,186.973495,1.1011,9.65,37427,1
2016-06-27,126.68,190.057892,1.1026,11.19,42289,2
2013-12-13,119.379997,160.435425,1.3743,34.639999,44776,4
2017-03-01,119.059998,230.82283,1.0548,11.4,43408,1
2014-07-23,125.620003,181.55899,1.3465,38.16,44928,3
2013-09-04,134.660004,148.57782,1.3209,38.34,53141,3
2014-09-12,118.379997,182.006836,1.2965,34.380001,41309,3
2016-04-07,118.610001,193.194794,1.1377,9.51,36382,2
2013-11-04,126.809998,159.282471,1.3516,34.040001000000004,48257,4
2015-08-19,108.550003,194.113907,1.1119,13.43,35527,3
2016-09-02,126.57,207.930542,1.1156,10.24,45480,3
2018-04-11,128.110001,259.880035,1.2367,13.45,39181,2
2015-12-04,104.019997,196.379028,1.0886,12.46,34424,4
2014-06-18,122.669998,178.52844199999996,1.3596,39.009998,42398,2
2017-12-26,121.769997,262.209412,1.1859,11.95,38294,4
2013-12-11,120.860001,160.98490900000004,1.3786,34.98,45730,4
2013-10-21,126.980003,157.093552,1.3683,35.939999,49178,4
2015-06-12,113.230003,194.704224,1.1269,20.27,36594,2
2012-08-23,161.889999,123.330429,1.2564,35.759998,56778,3
